MATABELELAND NORTH PROVINCE : 2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,Busha Joseph Makamba FreeZim Congress,"Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,,,,,,,,,,,BINGA NORTH CONSTITUENCY,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,22,Siamupa Primary School A,0600BGA2201 A,1,290,1,1,1,2,1,5,1,0,1,0,0,0,157,3,0,2,4,1,0,2,0,8,0,481,473
Binga,Binga North,Binga RDC,22,Siamupa Primary School B,0600BGA2201 B,2,308,3,0,0,0,1,7,1,1,2,0,0,0,137,6,1,1,4,0,0,2,3,12,0,491,479
Binga,Binga North,Binga RDC,22,Sinamwenda Primary School,0600BGA2202,2,129,2,0,0,0,0,0,0,0,0,0,1,0,110,0,1,0,1,1,0,0,0,0,0,247,247
,,,,3 POLLING STATIONS,WARD TOTAL,5,727,6,1,1,2,2,12,2,1,3,0,1,0,404,9,2,3,9,2,0,4,3,20,0,1219,1199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,23,Kalungwizi Primary School A,0600BGA2301 A,6,262,3,2,1,1,3,16,1,0,0,0,0,3,104,1,1,4,3,1,0,2,1,29,0,444,415
Binga,Binga North,Binga RDC,23,Kalungwizi Primary School B,0600BGA2301 B,6,266,3,0,0,1,2,18,2,0,2,1,0,3,96,3,1,0,2,1,1,2,6,26,0,442,416
Binga,Binga North,Binga RDC,23,Kkumbu Primary School,0600BGA2302,2,85,0,0,0,3,24,5,0,2,0,0,0,1,186,3,1,0,0,0,1,4,0,10,0,327,317
Binga,Binga North,Binga RDC,23,Malube Primary School,0600BGA2303,3,323,2,0,2,1,1,21,0,0,1,0,0,0,230,3,0,0,4,2,0,2,4,49,0,648,599
Binga,Binga North,Binga RDC,23,Mulambe Primary School,0600BGA2304,7,280,9,1,1,6,3,22,0,3,0,0,1,4,100,11,0,0,4,1,0,0,1,35,0,489,454
Binga,Binga North,Binga RDC,23,Nabusenga Primary School,0600BGA2305,1,65,0,0,0,1,0,4,0,0,0,0,0,0,32,2,0,1,1,0,0,2,0,8,0,117,109
,,,,6 POLLING STATIONS,WARD TOTAL,25,1281,17,3,4,13,33,86,3,5,3,1,1,11,748,23,3,5,14,5,2,12,12,157,0,2467,2310
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,24,Binga High School,0600BGA2401,1,465,2,1,0,1,2,6,1,0,0,0,0,0,129,2,0,1,1,0,0,1,0,10,0,623,613
Binga,Binga North,Binga RDC,24,Binga Library,0600BGA2402,1,261,0,1,0,0,0,3,1,0,0,0,0,0,116,1,0,0,2,0,0,1,1,3,0,391,388
Binga,Binga North,Binga RDC,24,Binga Primary School,0600BGA2403,3,364,3,0,0,1,0,2,0,0,0,0,0,0,129,0,0,3,1,1,1,0,0,8,0,516,508
Binga,Binga North,Binga RDC,24,Donga Primary School,0600BGA2404,2,182,0,0,1,1,1,4,0,0,0,0,0,1,50,2,0,1,0,0,0,1,2,19,0,267,248
Binga,Binga North,Binga RDC,24,Kulizwe Lodge Shed,0600BGA2405,1,270,1,0,0,1,2,4,0,0,0,0,0,0,29,5,1,0,0,1,0,1,1,5,0,322,317
,,,,5 POLLING STATIONS,WARD TOTAL,8,1542,6,2,1,4,5,19,2,0,0,0,0,1,453,10,1,5,4,2,1,4,4,45,0,2119,2074
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BINGA NORTH CONSTITUENCY TOTAL,,152,19034,117,16,31,70,123,457,37,20,18,8,12,48,6946,211,15,62,100,24,32,77,76,1003,0,28689,27686
,,,,,,,,,,,,,,BINGA SOUTH CONSTITUENCY,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga South,Binga RDC,13,Cross Chamber Business Centre Tent,0600BGA1301,2,215,0,0,0,1,0,3,0,0,0,0,0,0,97,0,0,1,0,1,2,0,1,9,0,332,323
Binga,Binga South,Binga RDC,13,Malilachulwa Dip Tank Tent,0600BGA1302,4,223,2,0,0,0,1,6,0,0,0,0,1,0,67,4,0,2,0,0,0,0,1,20,0,331,311
Binga,Binga South,Binga RDC,13,Mlibizi Business Centre Tent,0600BGA1303,0,65,1,0,1,0,2,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,3,0,108,105
Binga,Binga South,Binga RDC,13,Mupambe Primary School,0600BGA1304,2,334,0,0,0,0,1,3,0,0,1,0,0,0,68,0,0,0,0,0,1,2,0,4,0,416,412
Binga,Binga South,Binga RDC,13,Saba Primary School,0600BGA1305,2,422,6,0,2,2,2,5,1,0,0,0,1,0,202,3,0,2,0,0,1,0,1,25,0,677,652
,,,,5 POLLING STATIONS,WARD TOTAL,10,1259,9,0,3,3,6,17,1,0,1,0,2,0,470,7,0,5,0,1,4,2,3,61,0,1864,1803
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga South,Binga RDC,14,Chinonge Primary School A,0600BGA1401 A,6,278,4,0,1,1,0,24,0,1,0,0,1,1,80,8,3,5,0,0,0,3,1,30,0,447,417
Binga,Binga South,Binga RDC,14,Chinonge Primary School B,0600BGA1401 B,2,304,4,1,2,0,0,16,1,0,1,0,1,2,82,2,1,1,1,2,2,3,0,12,0,440,428
Binga,Binga South,Binga RDC,14,Cross Sikomena Primary School,0600BGA1402,2,124,0,0,6,0,0,4,0,0,0,0,0,0,112,2,1,0,0,1,0,1,1,8,0,262,254
Binga,Binga South,Binga RDC,14,Kayongolo Primary School,0600BGA1403,3,112,2,0,0,0,0,9,1,0,0,0,1,1,41,6,0,0,1,0,0,0,1,6,0,184,178
Binga,Binga South,Binga RDC,14,Mulindi Primary School,0600BGA1404,3,454,3,0,0,1,1,6,0,0,0,1,0,0,40,5,0,3,0,0,1,2,1,7,0,528,521
Binga,Binga South,Binga RDC,14,Nakapande Primary School,0600BGA1405,5,251,3,0,0,1,1,15,2,0,2,0,0,2,128,2,0,0,0,0,1,0,0,7,0,420,413
Binga,Binga South,Binga RDC,14,Pashu Primary School,0600BGA1406 A,4,300,1,0,0,0,1,7,0,0,1,0,0,0,116,1,0,1,1,0,1,0,0,8,0,442,434
Binga,Binga South,Binga RDC,14,Pashu Primary School,0600BGA1406 B,2,273,2,1,0,3,2,6,0,0,0,1,1,0,120,5,0,3,1,0,3,1,1,15,0,440,425
Binga,Binga South,Binga RDC,14,Siadindi Primary School,0600BGA1407,6,377,6,1,0,1,0,26,1,2,0,0,1,1,158,6,2,5,1,1,2,0,1,17,0,615,598
Binga,Binga South,Binga RDC,14,Sichitumba Primary School,0600BGA1408,3,44,0,0,0,0,1,1,0,1,0,0,0,0,97,0,0,0,1,0,0,0,1,4,0,153,149
Binga,Binga South,Binga RDC,14,Simaliza Primary School,0600BGA1409,3,86,0,0,1,2,1,3,0,0,0,0,2,1,43,0,0,1,0,0,0,0,0,2,0,145,143
,,,,11 POLLING STATIONS,WARD TOTAL,39,2603,25,3,10,9,7,117,5,4,4,2,7,8,1017,37,7,19,6,4,10,10,7,116,0,4076,3960
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga South,Binga RDC,15,Kariangwe Secondary School A,0600BGA1501 A,4,302,1,0,0,0,0,5,0,0,0,0,0,0,100,1,2,0,0,0,0,0,2,17,0,434,417
Binga,Binga South,Binga RDC,15,Kariangwe Secondary School B,0600BGA1501 B,0,287,0,1,0,1,0,1,0,0,0,0,0,0,109,1,1,0,0,1,0,0,1,10,0,413,403
Binga,Binga South,Binga RDC,15,Manseme Primary School,0600BGA1502,3,432,3,1,2,2,1,9,1,1,1,0,0,1,28,5,0,2,2,0,0,1,3,28,0,526,498
Binga,Binga South,Binga RDC,15,Mbelele Primary School,0600BGA1503,6,285,1,0,0,4,1,2,1,0,0,0,0,1,56,5,0,1,2,1,0,1,0,20,0,387,367
Binga,Binga South,Binga RDC,15,Siansali Primary School,0600BGA1504,1,155,0,0,0,0,0,3,0,0,0,0,0,0,28,2,0,1,0,0,1,0,0,3,0,194,191
,,,,5 POLLING STATIONS,WARD TOTAL,14,1461,5,2,2,7,2,20,2,1,1,0,0,2,321,14,3,4,4,2,1,2,6,78,0,1954,1876
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga South,Binga RDC,16,Gwatagwata Primary School,0600BGA1601,7,387,2,2,3,2,0,22,0,1,1,0,2,1,123,4,2,5,0,5,2,2,2,30,0,605,575
Binga,Binga South,Binga RDC,16,Kamalumbu Tuckshop,0600BGA1602,0,56,2,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,77,75
Binga,Binga South,Binga RDC,16,Kampandu Primary School,0600BGA1603,0,141,0,0,0,0,1,4,0,0,0,0,0,3,21,0,0,1,2,1,1,0,0,10,0,185,175
Binga,Binga South,Binga RDC,16,Mabobolo Primary School,0600BGA1604,5,450,0,0,0,1,0,14,2,0,0,0,0,0,95,4,0,3,0,1,1,2,3,34,0,615,581
Binga,Binga South,Binga RDC,16,Musazi Primary School,0600BGA1605,3,121,3,1,0,0,1,14,1,1,0,0,0,3,42,4,0,3,0,1,2,1,0,13,0,214,201
Binga,Binga South,Binga RDC,16,Muunde Primary School,0600BGA1606,1,321,2,0,0,1,0,5,0,0,0,0,0,0,27,1,0,0,0,0,1,0,2,16,0,377,361
Binga,Binga South,Binga RDC,16,Sianungu Primary School,0600BGA1607,4,451,1,1,0,2,1,15,0,1,0,1,0,1,48,5,1,4,1,1,1,3,1,10,0,553,543
Binga,Binga South,Binga RDC,16,Sikomena Centre Primary School,0600BGA1608,0,70,0,0,4,1,1,2,0,0,0,0,0,0,87,0,0,1,0,1,1,2,0,0,0,170,170
Binga,Binga South,Binga RDC,16,Tobwe Primary School,0600BGA1609,9,514,6,0,1,2,0,12,0,0,1,2,0,0,57,6,1,2,0,1,0,1,0,12,0,627,615
,,,,9 POLLING STATIONS,WARD TOTAL,29,2511,16,4,8,9,4,91,3,3,2,3,2,8,514,24,4,19,3,11,9,11,8,127,0,3423,3296
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga South,Binga RDC,17,Champongo Primary School,0600BGA1701,6,321,4,1,3,0,1,6,0,0,0,0,0,0,62,7,1,2,0,1,1,1,0,10,0,427,417
Binga,Binga South,Binga RDC,17,Chuuzya Primary School,0600BGA1702,10,271,1,1,1,0,1,9,1,0,0,0,0,0,188,4,0,3,2,1,0,0,2,22,0,517,495
Binga,Binga South,Binga RDC,17,Dambwabansaka Community Centre Tent,0600BGA1703,6,151,1,0,0,0,0,8,1,0,0,0,0,0,112,4,1,0,1,1,1,0,0,7,0,294,287
Binga,Binga South,Binga RDC,17,Kabuba Primary School,0600BGA1704,8,495,10,1,3,6,1,7,0,0,1,0,0,1,117,5,1,4,1,1,2,2,0,12,0,678,666
Binga,Binga South,Binga RDC,17,Kapale Primary School,0600BGA1705,5,299,2,1,0,0,0,5,0,1,0,0,0,0,44,5,0,1,0,0,0,3,0,10,0,376,366
Binga,Binga South,Binga RDC,17,Lusulu High School,0600BGA1706,3,418,6,0,1,2,0,16,0,0,0,0,2,3,140,6,0,3,1,0,1,1,0,19,0,622,603
Binga,Binga South,Binga RDC,17,Nakaluba Primary School,0600BGA1707,4,411,2,0,0,1,1,15,0,0,0,0,1,2,69,10,2,2,1,0,0,1,3,44,0,569,525
Binga,Binga South,Binga RDC,17,Nakaluba Secondary School,0600BGA1708,2,275,4,0,0,1,0,4,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,18,0,357,339
Binga,Binga South,Binga RDC,17,Nsonkwa Primary School,0600BGA1709,2,294,5,0,0,1,1,10,0,0,0,0,0,1,107,2,0,1,0,0,1,0,2,27,0,454,427
Binga,Binga South,Binga RDC,17,Sinamagonde Primary School,0600BGA1710,5,350,2,0,0,3,0,5,0,0,0,0,0,0,210,4,1,2,0,0,4,0,0,22,0,608,586
,,,,10 POLLING STATIONS,WARD TOTAL,51,3285,37,4,8,14,5,85,2,1,1,0,3,7,1101,48,6,18,6,4,10,8,7,191,0,4902,4711
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga South,Binga RDC,19,Chinego Primary School A,0600BGA1901 A,4,341,0,2,1,0,1,12,0,0,0,0,1,2,84,2,2,1,0,1,0,0,2,21,0,477,456
Binga,Binga South,Binga RDC,19,Chinego Primary School B,0600BGA1901 B,5,320,1,0,0,0,3,7,2,0,0,0,0,1,75,1,0,1,0,1,3,1,2,27,0,450,423
Binga,Binga South,Binga RDC,19,Dungu St. Thomas Primary School,0600BGA1902,0,139,0,0,0,2,0,2,0,0,0,1,1,0,111,3,0,1,1,0,0,1,3,19,0,284,265
Binga,Binga South,Binga RDC,19,Malaliya Primary School,0600BGA1903,2,333,3,0,1,0,0,3,0,0,0,0,0,0,76,6,0,0,0,0,1,0,0,14,0,439,425
Binga,Binga South,Binga RDC,19,Manyanda Primary School,0600BGA1904,8,583,5,0,2,1,2,14,3,0,0,0,1,2,132,6,0,0,2,1,1,0,1,34,0,798,764
,,,,5 POLLING STATIONS,WARD TOTAL,19,1716,9,2,4,3,6,38,5,0,0,1,3,5,478,18,2,3,3,3,5,2,8,115,0,2448,2333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga South,Binga RDC,20,Kamombo Primary School,0600BGA2001,6,263,3,0,1,7,1,21,0,3,0,1,1,0,100,3,1,3,0,4,0,0,2,12,0,432,420
Binga,Binga South,Binga RDC,20,Kavunikwa Primary School,0600BGA2002,3,198,1,0,1,2,0,3,0,0,0,0,0,0,24,3,0,0,0,1,1,0,1,13,0,251,238
Binga,Binga South,Binga RDC,20,Lubimbi 1 Primary School,0600BGA2003,7,549,2,1,0,3,3,12,1,0,0,0,1,0,109,8,1,2,1,2,0,2,0,30,0,734,704
Binga,Binga South,Binga RDC,20,Lubimbi 2 Primary School,0600BGA2004,2,245,0,0,1,1,0,4,2,0,0,2,1,1,41,5,1,1,0,1,1,0,1,21,0,331,310
Binga,Binga South,Binga RDC,20,Lubimbi Business Centre Tent,0600BGA2005,1,445,1,0,0,1,1,1,0,0,0,0,0,0,22,2,0,3,0,1,0,0,1,11,0,490,479
,,,,5 POLLING STATIONS,WARD TOTAL,19,1700,7,1,3,14,5,41,3,3,0,3,3,1,296,21,3,9,1,9,2,2,5,87,0,2238,2151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga South,Binga RDC,21,Bemsee Primary School,0600BGA2101,1,327,2,0,4,0,3,16,1,1,1,1,0,0,175,4,0,3,0,0,0,1,1,11,0,552,541
Binga,Binga South,Binga RDC,21,Chabuya Primary School,0600BGA2102,1,78,3,1,0,1,0,3,0,2,1,1,0,3,217,3,1,0,0,1,1,1,0,10,0,328,318
Binga,Binga South,Binga RDC,21,Chibila Primary School,0600BGA2103,5,230,2,0,23,1,3,21,1,1,0,0,0,2,333,5,2,3,1,3,1,1,1,28,0,667,639
Binga,Binga South,Binga RDC,21,Chipale Primary School,0600BGA2104,7,342,8,0,1,4,8,23,1,1,1,0,2,1,211,3,1,2,1,0,0,1,0,17,0,635,618
Binga,Binga South,Binga RDC,21,Chisawu Primary School,0600BGA2105,5,129,4,0,1,4,2,7,0,0,0,0,2,1,182,3,0,1,3,0,0,1,0,8,0,353,345
Binga,Binga South,Binga RDC,21,Chisizya Primary School,0600BGA2106,4,64,0,0,1,4,3,7,0,0,1,1,0,1,419,2,1,0,0,2,0,3,2,12,0,527,515
Binga,Binga South,Binga RDC,21,Gwagwa Primary School,0600BGA2107,3,89,3,0,11,0,0,5,0,0,2,0,0,0,45,3,0,0,0,0,0,0,0,16,0,177,161
Binga,Binga South,Binga RDC,21,Gwangwaliba Primary School,0600BGA2108,1,321,4,0,4,3,1,7,0,0,0,0,0,0,234,1,0,0,1,1,0,1,1,16,0,596,580
Binga,Binga South,Binga RDC,21,Kajijima Primary School,0600BGA2109,1,75,2,0,0,1,0,2,0,0,0,0,0,0,54,1,1,1,0,0,0,1,0,2,0,141,139
Binga,Binga South,Binga RDC,21,Kkokkoloza Primary School,0600BGA2110,3,134,7,0,0,2,1,2,0,0,0,0,0,2,196,5,0,0,0,1,1,1,1,20,0,376,356
Binga,Binga South,Binga RDC,21,Ntivule East Primary School,0600BGA2111,1,46,1,0,1,1,4,5,0,1,0,1,0,0,105,1,1,0,0,1,0,2,1,15,0,187,172
Binga,Binga South,Binga RDC,21,Ntivule West Primary School,0600BGA2112,1,32,2,0,0,0,1,1,0,0,0,0,0,1,77,1,0,0,0,0,0,0,0,5,0,121,116
Binga,Binga South,Binga RDC,21,Zumanana Primary School,0600BGA2113,6,197,4,0,1,6,1,9,2,2,2,0,2,1,132,2,1,1,0,0,0,2,0,38,0,409,371
Binga,Binga South,Binga RDC,21,Zyakamana Primary School,0600BGA2114,7,99,9,0,0,6,4,6,2,2,1,1,1,5,275,3,3,4,0,3,1,1,3,34,0,470,436
,,,,14 POLLING STATIONS,WARD TOTAL,46,2163,51,1,47,33,31,114,7,10,9,5,7,17,2655,37,11,15,6,12,4,16,10,232,0,5539,5307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga South,Binga RDC,25,Chasamba Secondary School,0600BGA2501,4,227,0,0,0,0,2,6,0,1,0,0,0,0,47,3,0,1,0,0,1,1,0,5,0,298,293
Binga,Binga South,Binga RDC,25,Katete Primary School,0600BGA2502,0,109,1,0,0,0,0,1,0,0,0,0,0,0,11,3,0,1,0,0,0,1,1,4,0,132,128
Binga,Binga South,Binga RDC,25,Lubanda Primary School,0600BGA2503,0,372,1,0,0,1,2,1,0,0,0,0,0,0,82,3,0,1,0,0,1,1,0,7,0,472,465
Binga,Binga South,Binga RDC,25,Lwaanzi Primary School,0600BGA2504,0,97,1,0,0,0,1,5,0,0,0,0,0,0,24,1,1,0,0,0,0,1,0,1,0,132,131
Binga,Binga South,Binga RDC,25,Makunku Business Centre Tent,0600BGA2505,0,296,3,1,1,0,1,5,0,1,1,0,0,0,160,2,1,0,0,0,1,0,1,8,0,482,474
,,,,5 POLLING STATIONS,WARD TOTAL,4,1101,6,1,1,1,6,18,0,2,1,0,0,0,324,12,2,3,0,0,3,4,2,25,0,1516,1491
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BINGA SOUTH CONSTITUENCY TOTAL,,231,17799,165,18,86,93,72,541,28,24,19,14,27,48,7176,218,38,95,29,46,48,57,56,1032,0,27960,26928
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,BUBI CONSTITUENCY,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubi,Bubi,Bubi RDC,1,Abantukuqala Tent,3500BUB0101,2,10,0,0,0,1,1,5,0,0,0,0,0,0,191,0,0,1,0,1,0,0,0,4,0,216,212
Bubi,Bubi,Bubi RDC,1,Darburn Mine Tent,3500BUB0102,1,20,0,0,0,3,0,9,0,1,0,0,0,0,26,0,0,0,1,0,0,0,0,3,0,64,61
Bubi,Bubi,Bubi RDC,1,Enaleni Primary School,3500BUB0103,1,15,4,0,0,0,0,0,0,0,0,0,0,0,238,0,1,1,0,1,2,0,0,5,0,268,263
Bubi,Bubi,Bubi RDC,1,Lonely Mine Hall,3500BUB0104,0,16,0,0,0,1,0,2,0,1,0,0,0,0,145,0,0,0,0,0,0,0,0,6,0,171,165
Bubi,Bubi,Bubi RDC,1,Makhosini Primary School,3500BUB0105,2,18,0,0,0,2,1,3,0,0,2,0,0,1,388,0,0,0,0,0,2,0,1,12,0,432,420
,,,,5 POLLING STATIONS,WARD TOTAL ,6,79,4,0,0,7,2,19,0,2,2,0,0,1,988,0,1,2,1,2,4,0,1,30,0,1151,1121
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubi,Bubi,Bubi RDC,2,Lukala Primary School,3500BUB0201,1,58,4,1,1,10,4,74,2,1,1,0,2,1,380,2,0,0,8,2,2,0,2,47,0,603,556
Bubi,Bubi,Bubi RDC,2,Siganda Primary School,3500BUB0202,3,167,2,0,3,1,2,58,2,1,0,0,0,1,118,2,0,1,6,1,1,0,2,20,0,391,371
,,,,2 POLLING STATIONS,WARD TOTAL ,4,225,6,1,4,11,6,132,4,2,1,0,2,2,498,4,0,1,14,3,3,0,4,67,0,994,927
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubi,Bubi,Bubi RDC,3,Bambanani Primary School,3500BUB0301,1,25,0,0,1,0,0,33,0,0,0,0,0,1,85,0,0,0,0,0,0,0,0,0,0,146,146
Bubi,Bubi,Bubi RDC,3,Makoni Business Centre Tent,3500BUB0302,0,57,2,1,0,3,4,95,0,1,1,0,1,0,132,1,1,0,10,2,1,2,1,6,0,321,315
Bubi,Bubi,Bubi RDC,3,Mbembeswana 1 Primary School,3500BUB0303,2,72,3,4,2,3,7,124,0,0,2,0,2,0,277,0,1,3,2,3,2,6,3,14,0,532,518
Bubi,Bubi,Bubi RDC,3,Molo Wejiwa Primary School,3500BUB0304,1,4,0,0,0,0,0,13,0,0,0,0,1,1,55,0,1,0,0,0,0,0,0,5,0,81,76
,,,,4 POLLING STATIONS,WARD TOTAL ,4,158,5,5,3,6,11,265,0,1,3,0,4,2,549,1,3,3,12,5,3,8,4,25,0,1080,1055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubi,Bubi,Bubi RDC,4,Kokolombeni Primary School,3500BUB0401,1,32,5,1,1,2,0,41,0,1,1,0,1,2,142,1,0,0,0,0,2,0,1,3,0,237,234
Bubi,Bubi,Bubi RDC,4,Majiji Primary School A,3500BUB0402 A,4,113,1,0,2,4,1,72,1,0,1,0,1,2,305,3,1,0,3,3,3,2,0,22,0,544,522
Bubi,Bubi,Bubi RDC,4,Majiji Primary School B,3500BUB0402 B,1,102,1,0,2,3,1,89,0,0,0,0,0,3,295,3,4,2,3,0,3,2,5,18,0,537,519
,,,,3 POLLING STATIONS,WARD TOTAL ,6,247,7,1,5,9,2,202,1,1,2,0,2,7,742,7,5,2,6,3,8,4,6,43,0,1318,1275
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubi,Bubi,Bubi RDC,5,Ntobi Borehole Tent,3500BUB0501,1,43,3,0,0,2,9,5,0,0,1,0,2,2,185,0,0,1,0,0,1,3,0,3,0,261,258
Bubi,Bubi,Bubi RDC,5,Ntobi Primary School,3500BUB0502,0,37,0,0,0,0,9,32,0,0,0,0,0,0,155,1,1,0,1,0,0,3,1,9,0,249,240
,,,,2 POLLING STATIONS,WARD TOTAL ,1,80,3,0,0,2,18,37,0,0,1,0,2,2,340,1,1,1,1,0,1,6,1,12,0,510,498
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubi,Bubi,Bubi RDC,6,Hauke Primary School,3500BUB0601,0,9,0,0,0,0,0,16,0,0,0,0,1,0,24,0,0,0,0,0,0,1,0,0,0,51,51
,,,,1 POLLING STATION,WARD TOTAL ,0,9,0,0,0,0,0,16,0,0,0,0,1,0,24,0,0,0,0,0,0,1,0,0,0,51,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubi,Bubi,Bubi RDC,7,Dulutsha Primary School,3500BUB0701,1,74,5,1,1,1,0,98,0,1,0,0,1,0,176,2,1,1,6,1,2,1,2,9,0,384,375
Bubi,Bubi,Bubi RDC,7,Emkhonyeni Primary School,3500BUB0702,0,22,2,1,0,1,0,16,0,0,0,1,2,2,80,0,0,0,2,1,0,1,1,3,0,135,132
Bubi,Bubi,Bubi RDC,7,Hauke Project Centre Hall,3500BUB0703,3,101,3,3,1,3,3,156,0,2,1,1,7,2,153,1,1,4,8,1,2,0,2,5,0,463,458
Bubi,Bubi,Bubi RDC,7,Siganda DDF Rest Camp Tent,3500BUB0704,0,47,3,0,1,0,0,41,0,0,1,0,1,0,66,1,0,1,2,0,0,1,0,7,0,172,165
,,,,4 POLLING STATIONS,WARD TOTAL ,4,244,13,5,3,5,3,311,0,3,2,2,11,4,475,4,2,6,18,3,4,3,5,24,0,1154,1130
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubi,Bubi,Bubi RDC,8,Balanda Primary School,3500BUB0801,2,133,3,0,0,1,1,13,0,1,0,0,0,1,306,2,0,3,1,0,0,0,0,6,0,473,467
Bubi,Bubi,Bubi RDC,8,Britwell Business Centre Tent,3500BUB0802,0,20,0,0,0,1,0,1,0,0,0,0,0,0,70,0,0,0,1,0,2,0,0,2,0,97,95
,,,,2 POLLING STATIONS,WARD TOTAL ,2,153,3,0,0,2,1,14,0,1,0,0,0,1,376,2,0,3,2,0,2,0,0,8,0,570,562
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubi,Bubi,Bubi RDC,9,Inthuthuko Primary School,3500BUB0901,1,26,0,0,0,1,1,13,0,1,0,0,0,2,129,0,0,0,0,0,0,1,0,0,0,175,175
Bubi,Bubi,Bubi RDC,9,Sijauke Primary School,3500BUB0902,0,117,3,1,0,2,1,5,0,0,0,0,1,0,195,1,1,1,1,4,3,0,1,3,0,340,337
,,,,2 POLLING STATIONS,WARD TOTAL ,1,143,3,1,0,3,2,18,0,1,0,0,1,2,324,1,1,1,1,4,3,1,1,3,0,515,512
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubi,Bubi,Bubi RDC,10,Ezintsheni Farm Tent,3500BUB1001,0,8,1,0,0,0,0,1,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,1,0,75,74
Bubi,Bubi,Bubi RDC,10,Queens Mine Primary School,3500BUB1002,3,245,6,0,1,3,2,14,0,0,0,0,0,0,291,2,0,1,0,3,0,0,1,8,0,580,572
Bubi,Bubi,Bubi RDC,10,Tshayile Primary School,3500BUB1003,0,13,1,0,0,0,1,0,0,0,1,0,0,0,145,0,0,0,0,0,0,0,1,1,0,163,162
,,,,3 POLLING STATIONS,WARD TOTAL ,3,266,8,0,1,3,3,15,0,0,1,0,0,0,500,2,0,1,0,3,0,0,2,10,0,818,808
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
