MASHONALAND CENTRAL PROVINCE:  2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive Party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
National Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Bindura,Bindura South,Bindura RDC,6,Gosforth Farm Tent,0500BIN0604,1,22,0,0,0,2,0,0,0,0,0,0,0,0,369,0,0,0,1,0,0,0,0,5,0,400,395
Bindura,Bindura South,Bindura RDC,6,Kingstone Farm Tent,0500BIN0605,1,47,1,0,0,0,1,2,0,0,0,0,0,0,305,2,0,1,0,0,1,1,1,6,0,369,363
Bindura,Bindura South,Bindura RDC,6,Kippendale Farm Tent,0500BIN0606,0,29,0,0,0,0,0,0,0,1,0,0,0,0,111,1,1,1,0,0,1,0,0,5,0,150,145
Bindura,Bindura South,Bindura RDC,6,Trojan Mine A Primary School A,0500BIN0607 A,1,635,1,1,0,0,1,2,0,0,1,0,0,0,220,1,0,2,0,0,0,1,1,10,0,877,867
Bindura,Bindura South,Bindura RDC,6,Trojan Mine A Primary School B,0500BIN0607 B,1,687,2,0,0,0,1,2,0,2,0,0,0,1,155,1,0,0,1,0,0,1,0,1,0,855,854
Bindura,Bindura South,Bindura RDC,6,Trojan Mine B Primary School,0500BIN0608,2,659,2,0,0,0,0,0,1,0,0,1,0,0,163,0,0,0,0,0,1,0,0,5,0,834,829
,,,,9 Polling Stations,Ward Total,6,"2,714",6,1,0,4,3,8,1,3,1,1,0,2,"1,971",7,1,5,6,2,3,3,2,40,0,"4,790","4,750"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura South,Bindura RDC,8,Burnside (Bemberero) Primary School,0500BIN0801,1,25,1,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,3,0,0,0,0,0,0,543,543
Bindura,Bindura South,Bindura RDC,8,Ruwanga Farm Tent,0500BIN0802,2,8,1,0,0,1,0,0,1,0,0,0,0,0,321,0,0,0,0,0,0,0,0,1,0,335,334
Bindura,Bindura South,Bindura RDC,8,SOS Maizelands Primary School,0500BIN0803,2,62,2,0,1,2,1,1,0,0,0,2,0,0,710,0,0,0,1,2,0,0,0,7,0,793,786
Bindura,Bindura South,Bindura RDC,8,The Vale Farm Tent,0500BIN0804,0,24,1,0,0,2,1,0,0,0,0,0,0,1,580,0,2,0,1,0,0,0,0,5,0,617,612
,,,,4 Polling Stations,Ward Total,5,119,5,0,1,5,2,1,1,0,0,2,0,1,"2,124",0,2,0,5,2,0,0,0,13,0,"2,288","2,275"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura South,Bindura RDC,9,Chireka Primary School,0500BIN0901,3,284,8,0,0,1,0,2,1,0,0,1,0,1,392,0,2,2,2,1,2,0,1,11,0,714,703
Bindura,Bindura South,Bindura RDC,9,Chirikadzi Business Centre Tent,0500BIN0902,1,160,0,0,0,0,0,1,0,0,0,0,1,0,238,0,0,0,2,1,1,0,0,13,0,418,405
Bindura,Bindura South,Bindura RDC,9,Matapi Business Centre Tent,0500BIN0903,1,227,3,0,3,0,1,10,0,2,1,0,0,2,443,0,2,1,0,0,1,2,3,9,1,711,702
,,,,3 Polling Stations,Ward Total,5,671,11,0,3,1,1,13,1,2,1,1,1,3,"1,073",0,4,3,4,2,4,2,4,33,1,"1,843","1,810"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura South,Bindura RDC,10,Dengu Primary School,0500BIN1001,3,161,0,0,1,3,1,0,0,0,0,0,0,0,269,0,1,0,3,0,1,0,0,10,0,453,443
Bindura,Bindura South,Bindura RDC,10,Manhenga Pre-School A,0500BIN1002 A,4,361,2,0,0,1,0,3,0,0,0,0,0,0,314,2,2,1,0,1,2,0,0,10,0,703,693
Bindura,Bindura South,Bindura RDC,10,Manhenga Pre-School B,0500BIN1002 B,1,333,3,1,1,1,0,1,0,0,0,0,0,0,334,1,0,1,3,0,1,0,2,13,0,696,683
Bindura,Bindura South,Bindura RDC,10,Wayerera Primary School A,0500BIN1003 A,2,233,2,0,0,1,1,7,1,1,1,0,1,3,295,1,2,2,0,0,1,0,0,8,0,562,554
Bindura,Bindura South,Bindura RDC,10,Wayerera Primary School B,0500BIN1003 B,7,237,3,0,0,1,1,2,0,1,0,0,0,0,317,2,1,0,0,1,1,0,1,10,0,585,575
,,,,5 Polling Stations,Ward Total,17,"1,325",10,1,2,7,3,13,1,2,1,0,1,3,"1,529",6,6,4,6,2,6,0,3,51,0,"2,999","2,948"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura South,Bindura RDC,11,Besa Business Centre Tent,0500BIN1101,1,149,0,0,0,3,2,0,1,0,0,0,0,2,268,4,2,1,0,0,1,0,0,5,0,439,434
Bindura,Bindura South,Bindura RDC,11,Chigiji Primary School,0500BIN1102,8,165,0,0,0,1,0,6,0,0,0,0,0,0,249,0,1,1,1,0,2,1,0,4,0,439,435
Bindura,Bindura South,Bindura RDC,11,Chiriseri Primary School,0500BIN1103,1,114,1,0,1,2,0,2,0,1,1,0,0,0,256,2,0,3,2,1,1,1,1,13,0,403,390
Bindura,Bindura South,Bindura RDC,11,Chitauro Business Centre Tent,0500BIN1104,0,35,0,2,0,0,0,0,0,0,1,0,0,0,101,2,1,0,0,0,0,0,0,2,0,144,142
Bindura,Bindura South,Bindura RDC,11,Jingo Primary School,0500BIN1105,2,115,2,5,0,0,0,3,0,0,0,0,0,1,206,1,1,1,2,0,0,0,0,6,0,345,339
,,,,5 Polling Stations,Ward Total,12,578,3,7,1,6,2,11,1,1,2,0,0,3,"1,080",9,5,6,5,1,4,2,1,30,0,"1,770","1,740"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura South,Bindura RDC,12,Dongorembada Primary School,0500BIN1201,1,63,1,0,0,1,1,0,1,0,1,0,0,0,380,1,0,0,0,1,1,1,1,4,0,458,454
Bindura,Bindura South,Bindura RDC,12,Maravanyika Primary School,0500BIN1202,1,135,0,0,0,1,0,5,0,0,0,0,0,1,236,0,1,1,0,0,2,0,0,0,0,383,383
Bindura,Bindura South,Bindura RDC,12,Masembura Primary School,0500BIN1203,3,140,1,0,0,1,2,4,0,0,1,0,0,1,651,1,1,0,1,0,2,1,0,6,1,816,810
,,,,3 Polling Stations,Ward Total,5,338,2,0,0,3,3,9,1,0,2,0,0,2,"1,267",2,2,1,1,1,5,2,1,10,1,"1,657","1,647"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura South,Bindura RDC,13,Chiveso Primary School,0500BIN1301,4,335,1,0,0,2,3,6,1,0,1,2,0,1,358,1,3,2,1,0,0,0,0,14,,735,721
Bindura,Bindura South,Bindura RDC,13,Murembe Secondary School,0500BIN1302,2,140,4,0,0,1,0,3,0,0,0,0,0,1,328,2,0,1,3,0,0,0,0,7,,492,485
,,,,2 Polling Stations,Ward Total,6,475,5,0,0,3,3,9,1,0,1,2,0,2,686,3,3,3,4,0,0,0,0,21,0,"1,227","1,206"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura South,Bindura RDC,14,Muchapondwa Primary School,0500BIN1401,1,254,2,0,0,1,0,4,0,0,1,0,0,0,545,0,2,0,1,0,0,0,0,5,0,816,811
Bindura,Bindura South,Bindura RDC,14,Muchapondwa Secondary School,0500BIN1402,0,183,1,0,0,0,0,6,0,0,0,0,0,0,178,2,0,0,1,1,2,1,0,4,0,379,375
Bindura,Bindura South,Bindura RDC,14,Musana Primary School,0500BIN1403,4,110,1,0,1,0,0,6,0,0,0,0,0,0,515,2,2,0,1,1,1,0,0,6,0,650,644
,,,,3 Polling Stations,Ward Total,5,547,4,0,1,1,0,16,0,0,1,0,0,0,"1,238",4,4,0,3,2,3,1,0,15,0,"1,845","1,830"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura South,Bindura RDC,15,Chakanyemba Primary School,0500BIN1501,4,125,2,0,0,0,0,4,0,0,0,0,0,0,196,3,0,0,0,0,1,0,0,14,0,349,335
Bindura,Bindura South,Bindura RDC,15,Nyava Primary School,0500BIN1502,1,339,2,0,0,1,0,3,0,0,0,1,0,1,490,2,1,0,6,0,1,0,0,5,1,853,848
Bindura,Bindura South,Bindura RDC,15,Nyava Secondary School A,0500BIN1503 A,2,172,2,0,1,2,0,1,0,1,0,0,0,0,254,2,2,1,6,0,0,0,0,1,0,447,446
Bindura,Bindura South,Bindura RDC,15,Nyava Secondary School B,0500BIN1503 B,0,187,2,0,0,3,0,3,0,0,0,0,1,1,252,2,1,1,3,0,0,0,1,6,0,463,457
,,,,4 Polling Stations,Ward Total,7,823,8,0,1,6,0,11,0,1,0,1,1,2,"1,192",9,4,2,15,0,2,0,1,26,1,"2,112","2,086"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura South,Bindura RDC,16,Chindotwe Primary School A,0500BIN1601 A,2,269,1,0,0,1,0,9,0,0,0,0,0,0,251,1,2,0,0,0,0,1,0,2,0,539,537
Bindura,Bindura South,Bindura RDC,16,Chindotwe Primary School B,0500BIN1601 B,3,263,6,1,0,2,0,5,0,0,0,0,0,1,244,5,1,1,0,0,1,0,1,5,0,539,534
Bindura,Bindura South,Bindura RDC,16,Gwaze Primary School,0500BIN1602,4,138,1,0,0,1,3,4,0,0,0,0,0,1,576,1,1,2,1,1,0,1,0,8,0,743,735
Bindura,Bindura South,Bindura RDC,16,Mumurwi Primary School,0500BIN1603,5,185,2,0,1,0,0,2,0,0,0,0,0,1,521,0,0,0,2,0,0,0,0,3,0,722,719
Bindura,Bindura South,Bindura RDC,16,Rutope Clinic Tent,0500BIN1604,6,320,0,0,1,0,0,5,1,0,0,0,0,1,415,1,2,2,2,1,0,0,1,7,0,765,758
,,,,5 Polling Stations,Ward Total,20,"1,175",10,1,2,4,3,25,1,0,0,0,0,4,"2,007",8,6,5,5,2,1,2,2,25,0,"3,308","3,283"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura South,Bindura RDC,17,Mupandira Primary School A,0500BIN1701 A,2,253,2,0,0,1,0,3,0,0,1,0,0,0,404,3,1,1,0,0,0,1,2,19,0,693,674
Bindura,Bindura South,Bindura RDC,17,Mupandira Primary School B,0500BIN1701 B,1,286,0,0,1,1,1,6,0,0,0,0,0,1,392,2,2,1,1,1,1,1,1,4,0,703,699
Bindura,Bindura South,Bindura RDC,17,Nzirawa Business Centre Tent,0500BIN1702,1,161,0,0,0,2,0,0,0,0,0,0,0,0,457,3,5,0,0,2,0,1,0,8,0,640,632
,,,,3 Polling Stations,Ward Total,4,700,2,0,1,4,1,9,0,0,1,0,0,1,"1,253",8,8,2,1,3,1,3,3,31,0,"2,036","2,005"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura South,Bindura RDC,18,Gorwa Primary School,0500BIN1801,1,333,3,1,0,2,0,4,0,0,1,0,1,0,155,2,0,1,9,0,0,1,2,11,0,527,516
Bindura,Bindura South,Bindura RDC,18,Mashambanhaka Primary School,0500BIN1802,3,283,5,0,0,1,2,5,0,1,1,0,0,0,367,2,0,1,6,0,0,0,1,9,0,687,678
,,,,2 Polling Stations,Ward Total,4,616,8,1,0,3,2,9,0,1,2,0,1,0,522,4,0,2,15,0,0,1,3,20,0,"1,214","1,194"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura South,Bindura RDC,21,Batanayi Community Hall,0500BIN2101,0,530,1,0,0,0,0,2,0,0,0,0,0,0,270,0,0,0,0,0,1,0,0,5,0,809,804
Bindura,Bindura South,Bindura RDC,21,Geluk Farm Tent,0500BIN2102,0,8,0,0,0,0,0,0,0,0,0,0,0,0,483,0,0,1,0,0,0,0,0,4,0,496,492
Bindura,Bindura South,Bindura RDC,21,Mapunga Primary School,0500BIN2103,2,86,0,0,0,0,1,1,1,1,0,0,0,1,382,2,1,0,1,1,1,0,0,14,0,495,481
Bindura,Bindura South,Bindura RDC,21,Pednor Primary School,0500BIN2104,1,115,0,0,0,0,1,1,0,0,1,0,0,0,63,1,0,0,0,0,0,0,1,0,0,184,184
Bindura,Bindura South,Bindura RDC,21,Pimento Park Primary School,0500BIN2105,1,21,1,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,1,0,137,136
Bindura,Bindura South,Bindura RDC,21,Saimoona Primary School A,0500BIN2106 A,0,21,0,0,0,0,1,0,1,0,0,0,0,0,467,1,1,1,0,0,0,0,0,4,0,497,493
Bindura,Bindura South,Bindura RDC,21,Saimoona Primary School B,0500BIN2106 B,3,36,0,0,0,1,0,1,0,0,0,0,0,1,451,0,1,0,1,0,0,0,1,1,0,497,496
Bindura,Bindura South,Bindura RDC,21,Thrums Primary School,0500BIN2107,1,28,0,0,0,1,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,1,5,0,376,371
,,,,8 Polling Stations,Ward Total,8,845,2,0,0,2,3,5,2,1,1,0,0,2,"2,569",4,3,2,2,1,2,0,3,34,0,"3,491","3,457"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura South Total,,,,,,104,"10,926",76,11,12,49,26,139,10,11,13,7,4,25,"18,511",64,48,35,72,18,31,16,23,349,3,"30,580","30,231"
Guruve,Guruve North,Guruve RDC,2,Chikwidibe Primary School A,7100GVE0201 A,4,10,1,0,0,0,0,1,1,0,0,0,0,0,580,0,0,0,2,0,1,0,0,8,0,608,600
Guruve,Guruve North,Guruve RDC,2,Chikwidibe Primary School B,7100GVE0201 B,0,8,0,0,0,0,0,0,0,0,1,1,0,0,579,1,0,0,1,0,0,0,0,13,0,604,591
Guruve,Guruve North,Guruve RDC,2,Matare Primary School,7100GVE0202,0,13,0,1,0,0,0,1,0,0,0,0,0,0,554,0,0,0,0,0,0,0,1,7,0,577,570
Guruve,Guruve North,Guruve RDC,2,Nyamanji Primary School,7100GVE0203,2,41,1,1,0,1,0,0,0,0,0,0,0,0,482,0,0,0,1,0,0,0,1,6,0,536,530
,,,,4 Polling Stations,Ward Total,6,72,2,2,0,1,0,2,1,0,1,1,0,0,"2,195",1,0,0,4,0,1,0,2,34,0,"2,325","2,291"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guruve,Guruve North,Guruve RDC,4,Chimufombo Primary School,7100GVE0401,3,126,2,0,0,0,1,0,1,0,1,0,0,0,276,2,0,1,0,0,0,0,1,12,0,426,414
Guruve,Guruve North,Guruve RDC,4,Matsvitsi Secondary School,7100GVE0402,2,35,1,0,0,0,0,1,0,0,0,1,0,0,342,0,0,0,2,1,0,0,0,6,0,391,385
Guruve,Guruve North,Guruve RDC,4,Mukwenya Primary School,7100GVE0403,1,44,1,0,1,1,0,0,0,0,0,0,0,0,284,1,0,0,0,0,0,1,1,5,0,340,335
Guruve,Guruve North,Guruve RDC,4,Rufaro Primary School,7100GVE0404,3,36,2,0,0,2,0,1,1,1,0,0,0,3,660,0,1,0,0,1,0,1,2,11,0,725,714
,,,,4 Polling Stations,Ward Total,9,241,6,0,1,3,1,2,2,1,1,1,0,3,"1,562",3,1,1,2,2,0,2,4,34,0,"1,882","1,848"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guruve,Guruve North,Guruve RDC,5,Chipangura Primary School A,7100GVE0501 A,4,105,2,2,0,1,0,4,1,0,0,1,0,3,322,2,0,0,1,0,2,0,3,8,0,461,453
Guruve,Guruve North,Guruve RDC,5,Chipangura Primary School B,7100GVE0501 B,6,93,3,1,0,0,0,4,0,0,0,0,1,0,327,3,0,0,0,0,1,0,1,9,0,449,440
Guruve,Guruve North,Guruve RDC,5,Museka Business Centre Tent,7100GVE0502,0,82,1,0,0,2,0,1,0,0,0,0,1,0,217,2,0,0,2,0,0,2,1,6,0,317,311
Guruve,Guruve North,Guruve RDC,5,Museka Primary School,7100GVE0503,6,77,5,1,0,3,1,2,1,0,0,0,0,1,577,1,0,0,0,0,1,0,0,15,0,691,676
Guruve,Guruve North,Guruve RDC,5,Tembure Pre-School Tent,7100GVE0504,2,174,1,0,1,2,0,5,0,0,0,0,0,1,343,0,0,0,0,0,1,0,2,9,0,541,532
,,,,5 Polling Stations,Ward Total,18,531,12,4,1,8,1,16,2,0,0,1,2,5,"1,786",8,0,0,3,0,5,2,7,47,0,"2,459","2,412"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guruve,Guruve North,Guruve RDC,6,Chimanikire Primary School A,7100GVE0601 A,4,165,3,6,1,0,1,2,0,0,0,0,0,2,290,2,0,0,1,0,1,0,2,6,0,486,480
Guruve,Guruve North,Guruve RDC,6,Chimanikire Primary School B,7100GVE0601 B,5,158,1,3,2,0,2,2,0,0,0,1,0,2,291,2,0,1,1,2,0,0,1,10,0,484,474
Guruve,Guruve North,Guruve RDC,6,Guruve District Registry Complex Tent A,7100GVE0602 A,0,210,1,1,0,0,1,1,0,0,0,0,0,0,321,0,0,0,1,13,2,1,0,8,0,560,552
Guruve,Guruve North,Guruve RDC,6,Guruve District Registry Complex Tent B,7100GVE0602 B,0,243,0,0,0,0,0,2,0,0,0,0,0,0,213,1,0,1,1,0,1,0,0,1,0,463,462
Guruve,Guruve North,Guruve RDC,6,Guruve Primary School A,7100GVE0603 A,0,210,1,1,0,0,1,1,0,0,0,0,0,0,321,0,0,0,1,13,2,1,0,8,0,560,552
Guruve,Guruve North,Guruve RDC,6,Guruve Primary School B,7100GVE0603 B,1,214,2,0,0,1,3,2,0,0,0,0,0,0,303,0,0,0,3,0,0,0,0,11,0,540,529
Guruve,Guruve North,Guruve RDC,6,Muzika Primary School,7100GVE0604,3,144,0,0,1,0,0,5,1,0,1,1,0,0,241,3,0,0,1,0,1,0,3,19,0,424,405
,,,,7 Polling Stations,Ward Total,13,"1,344",8,11,4,1,8,15,1,0,1,2,0,4,"1,980",8,0,2,9,28,7,2,6,63,0,"3,517","3,454"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guruve,Guruve North,Guruve RDC,16,Kaminza Business Centre Tent,7100GVE1601,1,7,1,0,0,1,0,0,0,0,0,0,1,0,512,1,0,0,0,0,0,1,1,8,0,534,526
Guruve,Guruve North,Guruve RDC,16,Mamini Primary School A,7100GVE1602 A,1,53,2,0,0,1,2,3,0,0,0,0,0,0,362,1,0,1,1,0,0,0,1,12,0,440,428
Guruve,Guruve North,Guruve RDC,16,Mamini Primary School B,7100GVE1602 B,2,69,2,0,0,0,1,1,0,0,1,0,0,2,363,3,0,0,2,0,1,2,1,6,0,456,450
Guruve,Guruve North,Guruve RDC,16,Murimbika Village Tent,7100GVE1603,3,31,0,0,1,4,0,1,0,0,0,0,0,1,484,2,1,0,0,0,1,0,1,13,0,543,530
,,,,4 Polling Stations,Ward Total,7,160,5,0,1,6,3,5,0,0,1,0,1,3,"1,721",7,1,1,3,0,2,3,4,39,0,"1,973","1,934"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guruve,Guruve North,Guruve RDC,17,Gota Primary School,7100GVE1701,1,31,0,0,0,0,0,0,0,0,0,0,0,0,246,1,0,0,0,0,0,0,0,6,0,285,279
Guruve,Guruve North,Guruve RDC,17,Rungudzi Clinic Tent,7100GVE1702,1,4,1,1,1,0,0,0,0,0,0,0,0,0,607,0,0,0,0,1,0,0,0,3,0,619,616
,,,,2 Polling Stations,Ward Total,2,35,1,1,1,0,0,0,0,0,0,0,0,0,853,1,0,0,0,1,0,0,0,9,0,904,895
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guruve,Guruve North,Guruve RDC,18,Chemachinda Primary School,7100GVE1801,6,94,0,0,0,0,2,4,0,0,0,0,0,0,202,0,0,0,1,0,0,0,1,6,0,316,310
Guruve,Guruve North,Guruve RDC,18,Chingwaro Primary School,7100GVE1802,0,48,0,0,0,1,0,1,2,0,0,0,0,0,450,0,0,0,4,1,0,0,0,10,0,517,507
Guruve,Guruve North,Guruve RDC,18,Chiweshe Business Centre Tent,7100GVE1803,2,32,1,0,0,1,0,2,1,0,0,0,1,2,361,2,1,0,0,2,0,0,1,2,0,411,409
Guruve,Guruve North,Guruve RDC,18,Kachuta Clinic Tent,7100GVE1804,0,73,0,0,0,0,0,1,0,0,0,0,0,0,174,0,0,0,5,0,1,0,0,3,0,257,254
,,,,4 Polling Stations,Ward Total,8,247,1,0,0,2,2,8,3,0,0,0,1,2,"1,187",2,1,0,10,3,1,0,2,21,0,"1,501","1,480"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guruve,Guruve North,Guruve RDC,19,Chiropa Business Centre Tent,7100GVE1901,2,21,1,0,0,1,0,0,1,0,0,0,0,0,472,1,0,0,0,0,0,0,0,6,0,505,499
Guruve,Guruve North,Guruve RDC,19,Negomo Primary School A,7100GVE1902 A,2,13,0,0,1,3,0,0,0,1,1,1,0,0,621,3,1,0,0,0,1,1,0,8,0,657,649
Guruve,Guruve North,Guruve RDC,19,Negomo Primary School B,7100GVE1902 B,1,29,2,1,0,3,0,1,0,0,0,0,0,1,607,1,0,0,1,0,0,0,0,8,0,655,647
Guruve,Guruve North,Guruve RDC,19,Nyagumbo Primary School A,7100GVE1903 A,0,12,0,0,0,1,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,2,12,0,484,472
Guruve,Guruve North,Guruve RDC,19,Nyagumbo Primary School B,7100GVE1903 B,4,11,0,0,0,0,0,0,0,0,0,0,0,0,453,1,0,1,0,1,0,0,0,0,0,471,471
,,,,5 Polling Stations,Ward Total,9,86,3,1,1,8,0,1,1,1,1,1,0,1,"2,610",6,1,1,1,1,1,1,2,34,0,"2,772","2,738"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guruve,Guruve North,Guruve RDC,20,Hamadziripi Village Tent,7100GVE2001,3,90,2,0,0,0,0,0,0,0,0,0,0,0,215,2,0,1,0,0,0,2,3,4,0,322,318
Guruve,Guruve North,Guruve RDC,20,Kadzimwenje Primary School,7100GVE2002,4,86,3,2,1,3,0,3,0,0,0,0,0,2,638,3,0,1,3,1,0,0,0,21,0,771,750
Guruve,Guruve North,Guruve RDC,20,Mushoshoma Primary School,7100GVE2003,2,236,4,1,0,1,1,6,0,0,0,0,0,1,347,1,0,1,0,0,0,0,1,14,0,616,602
Guruve,Guruve North,Guruve RDC,20,Ruzvidzo Village Tent,7100GVE2004,1,50,0,0,0,1,0,0,0,0,0,0,0,0,405,6,0,0,1,0,1,0,1,7,0,473,466
,,,,4 Polling Stations,Ward Total,10,462,9,3,1,5,1,9,0,0,0,0,0,3,"1,605",12,0,3,4,1,1,2,5,46,0,"2,182","2,136"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guruve,Guruve North,Guruve RDC,21,Gwakwe Primary School A,7100GVE2101 A,0,33,1,1,0,2,1,1,1,0,0,0,0,1,651,1,0,0,1,0,0,0,0,12,0,706,694
Guruve,Guruve North,Guruve RDC,21,Gwakwe Primary School B,7100GVE2101 B,1,24,0,1,0,1,1,2,0,0,0,1,0,0,647,1,0,0,1,1,0,0,0,13,0,694,681
Guruve,Guruve North,Guruve RDC,21,Manovi Farm Tent,7100GVE2102,0,7,0,0,0,0,0,0,0,0,0,0,0,0,235,1,0,0,0,0,0,0,0,4,0,247,243
Guruve,Guruve North,Guruve RDC,21,Mutota Primary School,7100GVE2103,1,17,0,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,7,0,539,532
Guruve,Guruve North,Guruve RDC,21,Nyamuseve Secondary School,7100GVE2104,0,6,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,6,0,612,606
Guruve,Guruve North,Guruve RDC,21,Redlichen Primary School,7100GVE2105,0,13,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,1,0,0,0,0,1,0,0,403,403
,,,,6 Polling Stations,Ward Total,2,100,1,2,0,3,2,3,1,0,0,1,0,1,"3,035",3,0,1,2,1,0,0,1,42,0,"3,201","3,159"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guruve,Guruve North,Guruve RDC,23,Kemutamba Primary School,7100GVE2301,6,66,1,0,0,0,0,0,0,0,0,0,0,1,772,2,0,0,2,3,11,0,1,6,0,871,865
Guruve,Guruve North,Guruve RDC,23,Mudhindo Primary School,7100GVE2302,3,32,1,0,0,1,1,1,0,0,0,0,0,0,576,1,0,0,1,0,0,1,0,7,0,625,618
Guruve,Guruve North,Guruve RDC,23,Mudhindo Village Tent,7100GVE2303,1,21,0,1,0,0,0,1,0,0,0,0,0,0,210,3,0,0,0,0,0,0,1,3,0,241,238
,,,,3 Polling Stations,Ward Total,10,119,2,1,0,1,1,2,0,0,0,0,0,1,"1,558",6,0,0,3,3,11,1,2,16,0,"1,737","1,721"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guruve,Guruve North,Guruve RDC,24,Goromonzi Business Centre Tent,7100GVE2401,4,117,1,0,0,0,0,3,0,0,0,0,0,0,285,3,0,0,0,0,0,0,0,6,0,419,413
Guruve,Guruve North,Guruve RDC,24,Mushongahande Business Centre Tent,7100GVE2402,1,117,0,0,0,2,1,5,0,0,1,0,0,0,371,6,0,0,1,0,1,1,1,12,0,520,508
Guruve,Guruve North,Guruve RDC,24,Mushongahande Primary School,7100GVE2403,0,50,0,0,0,2,0,0,0,0,0,0,0,0,139,0,0,0,1,0,0,1,1,1,0,195,194
Guruve,Guruve North,Guruve RDC,24,Vira Primary School,7100GVE2404,3,57,0,0,0,1,0,0,0,1,0,0,0,0,297,1,0,0,1,0,0,0,0,4,0,365,361
,,,,4 Polling Stations,Ward Total,8,341,1,0,0,5,1,8,0,1,1,0,0,0,"1,092",10,0,0,3,0,1,2,2,23,0,"1,499","1,476"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbire,Guruve North,Mbire RDC,6,Gurupira Village Tent,4600MBR0601,1,48,3,0,0,0,0,1,0,0,0,0,0,0,303,3,1,0,0,1,0,0,2,30,0,393,363
Mbire,Guruve North,Mbire RDC,6,Kasuwo Primary School A,4600MBR0602 A,4,98,1,2,1,2,0,0,1,0,0,0,2,0,375,2,0,0,2,0,0,1,1,12,0,504,492
