"MANICALAND PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS:30 JULY  2018 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera Central,Buhera RDC,19,Bangure Creche Tent,0700BUH1901,2,83,3,0,0,1,1,7,0,1,0,0,1,2,263,3,0,1,2,1,0,3,0,6,0,380,374
Buhera,Buhera Central,Buhera RDC,19,Bangure Primary School,0700BUH1902,3,255,7,0,0,0,2,6,0,1,2,0,0,1,307,2,2,1,0,1,2,2,1,10,0,605,595
Buhera,Buhera Central,Buhera RDC,19,Chiwa Business Centre Tent,0700BUH1903,2,44,0,0,2,0,1,0,0,1,0,0,0,0,133,1,0,1,0,1,2,0,0,4,0,192,188
Buhera,Buhera Central,Buhera RDC,19,Hanyire Business Centre Tent,0700BUH1904,1,76,0,0,0,1,0,0,0,0,1,0,0,0,94,0,0,0,0,0,0,0,0,9,0,182,173
Buhera,Buhera Central,Buhera RDC,19,Manhuru Business Centre Tent,0700BUH1905,0,43,0,0,0,0,0,2,0,0,0,0,0,2,56,0,0,0,2,0,0,0,0,3,0,108,105
Buhera,Buhera Central,Buhera RDC,19,Ndyarima Primary School,0700BUH1906,2,121,1,0,0,1,1,4,0,1,0,0,0,1,314,1,0,1,0,1,0,2,0,3,0,454,451
Buhera,Buhera Central,Buhera RDC,19,Nyamakute Primary School,0700BUH1907,0,115,0,0,0,0,0,2,0,0,0,0,0,0,104,0,0,1,0,0,0,1,0,5,0,228,223
Buhera,Buhera Central,Buhera RDC,19,Nyamakute Turn Off Tent,0700BUH1908,1,34,0,0,0,0,0,0,0,0,0,0,0,0,108,1,0,0,0,0,0,0,0,1,0,145,144
,,,,8 POLLING STATIONS,Ward Total,11,771,11,0,2,3,5,21,0,4,3,0,1,6,1379,8,2,5,4,4,4,8,1,41,0,2294,2253
